section,region,english_name,page_title,city_url,summary,reference_image,prompt_md,pc_output,mobile_output
Core series locations,Unova,Accumula Town,Accumula Town,https://bulbapedia.bulbagarden.net/wiki/Accumula_Town,"Accumula Town is a small town located in southeastern Unova. The town has two exits: to the south is Route 1, leading to Nuvema Town; to the west is Route 2, leading northwards to Striaton City.",https://archives.bulbagarden.net/media/upload/thumb/0/05/Accumula_Town_Winter_BW.png/600px-Accumula_Town_Winter_BW.png,prompts/unova__accumula-town.md,pc/unova__accumula-town__pc.webp,mobile/unova__accumula-town__mobile.webp
Core series locations,Paldea,Alfornada,Alfornada,https://bulbapedia.bulbagarden.net/wiki/Alfornada,"Alfornada is a town in the Paldea region, located in South Province (Area Six). Because of the Gym's specialized type, the people of this town tend to walk around accompanied by Psychic-type Pokémon.",https://archives.bulbagarden.net/media/upload/thumb/c/c1/Alfornada.png/600px-Alfornada.png,prompts/paldea__alfornada.md,pc/paldea__alfornada__pc.webp,mobile/paldea__alfornada__mobile.webp
Core series locations,Kalos,Ambrette Town,Ambrette Town,https://bulbapedia.bulbagarden.net/wiki/Ambrette_Town,Ambrette Town is a town located in the southwest portion of the Kalos region. It is situated on the edge of a seaside cliff with a narrow coastline.,https://archives.bulbagarden.net/media/upload/e/eb/Ambrette_Town_XY.png,prompts/kalos__ambrette-town.md,pc/kalos__ambrette-town__pc.webp,mobile/kalos__ambrette-town__mobile.webp
Core series locations,Kalos,Anistar City,Anistar City,https://bulbapedia.bulbagarden.net/wiki/Anistar_City,Anistar City is a city located in the Kalos region.,https://archives.bulbagarden.net/media/upload/8/8b/Lumiose_Museum_exhibit_Anistar_Sundial.png,prompts/kalos__anistar-city.md,pc/kalos__anistar-city__pc.webp,mobile/kalos__anistar-city__mobile.webp
Core series locations,Unova,Anville Town,Anville Town,https://bulbapedia.bulbagarden.net/wiki/Anville_Town,Anville Town is situated in the northwestern part of the Unova region. It is accessed by riding the Battle Subway's Anville line (shown brown on the subway map) from Gear Station in Nimbasa City; no battles are required to be able to go to this town.,https://archives.bulbagarden.net/media/upload/thumb/4/4f/Anville_Town_Summer_B2W2.png/600px-Anville_Town_Summer_B2W2.png,prompts/unova__anville-town.md,pc/unova__anville-town__pc.webp,mobile/unova__anville-town__mobile.webp
Core series locations,Kalos,Aquacorde Town,Aquacorde Town,https://bulbapedia.bulbagarden.net/wiki/Aquacorde_Town,Aquacorde Town is a town located in the southeastern part of the Kalos region. It is the place where the player gets their first partner Pokémon.,https://archives.bulbagarden.net/media/upload/3/3f/Aquacorde_Town_XY.png,prompts/kalos__aquacorde-town.md,pc/kalos__aquacorde-town__pc.webp,mobile/kalos__aquacorde-town__mobile.webp
Core series locations,Paldea,Artazon,Artazon,https://bulbapedia.bulbagarden.net/wiki/Artazon,"Artazon is a town in the Paldea region, located on the border of South Province (Area Three) and East Province (Area One). It is known for its flowers and art.",https://archives.bulbagarden.net/media/upload/thumb/0/00/Artazon.png/600px-Artazon.png,prompts/paldea__artazon.md,pc/paldea__artazon__pc.webp,mobile/paldea__artazon__mobile.webp
Core series locations,Unova,Aspertia City,Aspertia City,https://bulbapedia.bulbagarden.net/wiki/Aspertia_City,"Aspertia City is a small city situated in southwestern Unova and serves as the hometown of the Unova player character in Pokémon Black 2 and White 2. The settlement exists on Unova's western strip of land, and is surrounded by forest.",https://archives.bulbagarden.net/media/upload/thumb/e/ee/Aspertia_City_Winter_B2W2.png/600px-Aspertia_City_Winter_B2W2.png,prompts/unova__aspertia-city.md,pc/unova__aspertia-city__pc.webp,mobile/unova__aspertia-city__mobile.webp
Core series locations,Johto,Azalea Town,Azalea Town,https://bulbapedia.bulbagarden.net/wiki/Azalea_Town,"Azalea Town is a small, isolated town located on the southern peninsula of the Johto region. The town is best known for being the residence of Kurt, a custom Poké Ball creator who makes Poké Balls out of Apricorns.",https://archives.bulbagarden.net/media/upload/thumb/0/0f/Azalea_Town_HGSS.png/600px-Azalea_Town_HGSS.png,prompts/johto__azalea-town.md,pc/johto__azalea-town__pc.webp,mobile/johto__azalea-town__mobile.webp
Core series locations,Galar,Ballonlea,Ballonlea,https://bulbapedia.bulbagarden.net/wiki/Ballonlea,"Ballonlea is a small, secluded town situated in a dense forest in the northwestern Galar region. The town's sole access route via land is through Glimwood Tangle, which is located to the south.",https://archives.bulbagarden.net/media/upload/thumb/2/2d/Ballonlea_SWSH_Concept_Art.png/600px-Ballonlea_SWSH_Concept_Art.png,prompts/galar__ballonlea.md,pc/galar__ballonlea__pc.webp,mobile/galar__ballonlea__mobile.webp
Core series locations,Unova,Black City,Black City,https://bulbapedia.bulbagarden.net/wiki/Black_City,"Black City is a city located in the eastern part of the Unova region. Black City is exclusive to Pokémon Black and Pokémon Black 2, and features Trainers and tasks that do not appear or occur in Pokémon White and White 2.",https://archives.bulbagarden.net/media/upload/thumb/a/a6/Black_City_and_White_Forest.png/600px-Black_City_and_White_Forest.png,prompts/unova__black-city.md,pc/unova__black-city__pc.webp,mobile/unova__black-city__mobile.webp
Core series locations,Johto,Blackthorn City,Blackthorn City,https://bulbapedia.bulbagarden.net/wiki/Blackthorn_City,"Blackthorn City is a city located in northeast Johto. It is home to the Blackthorn Gym, led by the Gym Leader Clair, who specializes in Dragon-type Pokémon.",https://archives.bulbagarden.net/media/upload/thumb/9/96/Blackthorn_City_HGSS.png/600px-Blackthorn_City_HGSS.png,prompts/johto__blackthorn-city.md,pc/johto__blackthorn-city__pc.webp,mobile/johto__blackthorn-city__mobile.webp
Core series locations,Paldea,Cabo Poco,Cabo Poco,https://bulbapedia.bulbagarden.net/wiki/Cabo_Poco,"Cabo Poco is a small town on a cape in the south of the Paldea region. It is the hometown of the player and their rival, Nemona, in Pokémon Scarlet and Violet.",https://archives.bulbagarden.net/media/upload/thumb/f/fd/Cabo_Poco_SV_Concept_Art.png/600px-Cabo_Poco_SV_Concept_Art.png,prompts/paldea__cabo-poco.md,pc/paldea__cabo-poco__pc.webp,mobile/paldea__cabo-poco__mobile.webp
Core series locations,Kalos,Camphrier Town,Camphrier Town,https://bulbapedia.bulbagarden.net/wiki/Camphrier_Town,"Camphrier Town is a town located in the central Kalos region. The northern part of town houses Shabboneau Castle, a large castle once home to a generous king, surrounded by a moat.",https://archives.bulbagarden.net/media/upload/6/65/Camphrier_Town_XY.png,prompts/kalos__camphrier-town.md,pc/kalos__camphrier-town__pc.webp,mobile/kalos__camphrier-town__mobile.webp
Core series locations,Sinnoh,Canalave City,Canalave City,https://bulbapedia.bulbagarden.net/wiki/Canalave_City,Canalave City is a city in the Sinnoh region. Canalave City is a port city that is bisected by a canal which is crossed by a small drawbridge.,https://archives.bulbagarden.net/media/upload/thumb/3/39/Canalave_City_BDSP.png/600px-Canalave_City_BDSP.png,prompts/sinnoh__canalave-city.md,pc/sinnoh__canalave-city__pc.webp,mobile/sinnoh__canalave-city__mobile.webp
Core series locations,Paldea,Cascarrafa,Cascarrafa,https://bulbapedia.bulbagarden.net/wiki/Cascarrafa,"Cascarrafa is a city in the Paldea region, located on the edge of the Asado Desert and West Province (Area One). It is known as the City of Water.",https://archives.bulbagarden.net/media/upload/thumb/c/cd/Cascarrafa.png/600px-Cascarrafa.png,prompts/paldea__cascarrafa.md,pc/paldea__cascarrafa__pc.webp,mobile/paldea__cascarrafa__mobile.webp
Core series locations,Unova,Castelia City,Castelia City,https://bulbapedia.bulbagarden.net/wiki/Castelia_City,"Castelia City is a large seaside city located in south central Unova. Unlike other cities, Castelia is a huge, sprawling metropolis, sporting many towering skyscrapers and other tall buildings.",https://archives.bulbagarden.net/media/upload/thumb/a/ae/Castelia_City.png/600px-Castelia_City.png,prompts/unova__castelia-city.md,pc/unova__castelia-city__pc.webp,mobile/unova__castelia-city__mobile.webp
Core series locations,Kanto,Celadon City,Celadon City,https://bulbapedia.bulbagarden.net/wiki/Celadon_City,"If you were looking for the chapter in Pokémon Zensho, see PZ05. Celadon City is located in central Kanto.",https://archives.bulbagarden.net/media/upload/b/b6/Celadon_City_PE.png,prompts/kanto__celadon-city.md,pc/kanto__celadon-city__pc.webp,mobile/kanto__celadon-city__mobile.webp
Core series locations,Sinnoh,Celestic Town,Celestic Town,https://bulbapedia.bulbagarden.net/wiki/Celestic_Town,Celestic Town is a town in the Sinnoh region. It is a tiny town that preserves the history of Sinnoh and the old ways of life.,https://archives.bulbagarden.net/media/upload/thumb/0/0c/Celestic_Town_BDSP_Concept_Art.jpg/600px-Celestic_Town_BDSP_Concept_Art.jpg,prompts/sinnoh__celestic-town.md,pc/sinnoh__celestic-town__pc.webp,mobile/sinnoh__celestic-town__mobile.webp
Core series locations,Kanto,Cerulean City,Cerulean City,https://bulbapedia.bulbagarden.net/wiki/Cerulean_City,"If you were looking for the chapter in Pokémon Zensho, see PZ03. Cerulean City is a seaside city located in northern Kanto.",https://archives.bulbagarden.net/media/upload/4/4f/Cerulean_City_PE.png,prompts/kanto__cerulean-city.md,pc/kanto__cerulean-city__pc.webp,mobile/kanto__cerulean-city__mobile.webp
Core series locations,Johto,Cherrygrove City,Cherrygrove City,https://bulbapedia.bulbagarden.net/wiki/Cherrygrove_City,,https://archives.bulbagarden.net/media/upload/e/e3/None.png,prompts/johto__cherrygrove-city.md,pc/johto__cherrygrove-city__pc.webp,mobile/johto__cherrygrove-city__mobile.webp
Core series locations,Johto,Cianwood City,Cianwood City,https://bulbapedia.bulbagarden.net/wiki/Cianwood_City,,https://archives.bulbagarden.net/media/upload/8/8a/Cianwood_City_HGSS.png,prompts/johto__cianwood-city.md,pc/johto__cianwood-city__pc.webp,mobile/johto__cianwood-city__mobile.webp
Core series locations,Galar,Circhester,Circhester,https://bulbapedia.bulbagarden.net/wiki/Circhester,,https://archives.bulbagarden.net/media/upload/thumb/0/00/Circhester_SwSh.png/600px-Circhester_SwSh.png,prompts/galar__circhester.md,pc/galar__circhester__pc.webp,mobile/galar__circhester__mobile.webp
Core series locations,Kanto,Cinnabar Island,Cinnabar Island,https://bulbapedia.bulbagarden.net/wiki/Cinnabar_Island,,https://archives.bulbagarden.net/media/upload/5/5d/Cinnabar_Island_PE.png,prompts/kanto__cinnabar-island.md,pc/kanto__cinnabar-island__pc.webp,mobile/kanto__cinnabar-island__mobile.webp
Core series locations,Paldea,Cortondo,Cortondo,https://bulbapedia.bulbagarden.net/wiki/Cortondo,,https://archives.bulbagarden.net/media/upload/thumb/7/71/Cortondo.png/600px-Cortondo.png,prompts/paldea__cortondo.md,pc/paldea__cortondo__pc.webp,mobile/paldea__cortondo__mobile.webp
Core series locations,Kalos,Coumarine City,Coumarine City,https://bulbapedia.bulbagarden.net/wiki/Coumarine_City,,https://archives.bulbagarden.net/media/upload/b/be/Coumarine_City_XY.png,prompts/kalos__coumarine-city.md,pc/kalos__coumarine-city__pc.webp,mobile/kalos__coumarine-city__mobile.webp
Core series locations,Kalos,Couriway Town,Couriway Town,https://bulbapedia.bulbagarden.net/wiki/Couriway_Town,,https://archives.bulbagarden.net/media/upload/1/1c/Couriway_Town_XY.png,prompts/kalos__couriway-town.md,pc/kalos__couriway-town__pc.webp,mobile/kalos__couriway-town__mobile.webp
Core series locations,Kalos,Cyllage City,Cyllage City,https://bulbapedia.bulbagarden.net/wiki/Cyllage_City,,https://archives.bulbagarden.net/media/upload/d/d0/Cyllage_City_XY.png,prompts/kalos__cyllage-city.md,pc/kalos__cyllage-city__pc.webp,mobile/kalos__cyllage-city__mobile.webp
Core series locations,Kalos,Dendemille Town,Dendemille Town,https://bulbapedia.bulbagarden.net/wiki/Dendemille_Town,,https://archives.bulbagarden.net/media/upload/e/e3/None.png,prompts/kalos__dendemille-town.md,pc/kalos__dendemille-town__pc.webp,mobile/kalos__dendemille-town__mobile.webp
Core series locations,Hoenn,Dewford Town,Dewford Town,https://bulbapedia.bulbagarden.net/wiki/Dewford_Town,,https://archives.bulbagarden.net/media/upload/thumb/4/42/Dewford_Town_ORAS.png/600px-Dewford_Town_ORAS.png,prompts/hoenn__dewford-town.md,pc/hoenn__dewford-town__pc.webp,mobile/hoenn__dewford-town__mobile.webp
Core series locations,Hisui,Diamond Settlement,Diamond Settlement,https://bulbapedia.bulbagarden.net/wiki/Diamond_Settlement,,https://archives.bulbagarden.net/media/upload/thumb/e/ef/LA_Diamond_Settlement.png/600px-LA_Diamond_Settlement.png,prompts/hisui__diamond-settlement.md,pc/hisui__diamond-settlement__pc.webp,mobile/hisui__diamond-settlement__mobile.webp
Core series locations,Unova,Driftveil City,Driftveil City,https://bulbapedia.bulbagarden.net/wiki/Driftveil_City,,https://archives.bulbagarden.net/media/upload/thumb/2/20/Driftveil_City_Summer_B2W2.png/600px-Driftveil_City_Summer_B2W2.png,prompts/unova__driftveil-city.md,pc/unova__driftveil-city__pc.webp,mobile/unova__driftveil-city__mobile.webp
Core series locations,Johto,Ecruteak City,Ecruteak City,https://bulbapedia.bulbagarden.net/wiki/Ecruteak_City,,https://archives.bulbagarden.net/media/upload/thumb/7/77/Ecruteak_City_HGSS.png/600px-Ecruteak_City_HGSS.png,prompts/johto__ecruteak-city.md,pc/johto__ecruteak-city__pc.webp,mobile/johto__ecruteak-city__mobile.webp
Core series locations,Sinnoh,Eterna City,Eterna City,https://bulbapedia.bulbagarden.net/wiki/Eterna_City,,https://archives.bulbagarden.net/media/upload/thumb/c/c7/Eterna_City_BDSP_Concept_Art.jpg/600px-Eterna_City_BDSP_Concept_Art.jpg,prompts/sinnoh__eterna-city.md,pc/sinnoh__eterna-city__pc.webp,mobile/sinnoh__eterna-city__mobile.webp
Core series locations,Hoenn,Ever Grande City,Ever Grande City,https://bulbapedia.bulbagarden.net/wiki/Ever_Grande_City,,https://archives.bulbagarden.net/media/upload/thumb/e/ec/Ever_Grande_City_ORAS.png/600px-Ever_Grande_City_ORAS.png,prompts/hoenn__ever-grande-city.md,pc/hoenn__ever-grande-city__pc.webp,mobile/hoenn__ever-grande-city__mobile.webp
Core series locations,Hoenn,Fallarbor Town,Fallarbor Town,https://bulbapedia.bulbagarden.net/wiki/Fallarbor_Town,,https://archives.bulbagarden.net/media/upload/thumb/e/ef/Fallarbor_Town_ORAS.png/600px-Fallarbor_Town_ORAS.png,prompts/hoenn__fallarbor-town.md,pc/hoenn__fallarbor-town__pc.webp,mobile/hoenn__fallarbor-town__mobile.webp
